neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365,reviews_per_month
Wandsworth,Entire home/apt,154.37,17,45,273,1.65
Westminster,Entire home/apt,236.43,28,59,248,1.9
Islington,Entire home/apt,127.34,25,1,23,3.02
Islington,Private room,110.91,27,166,206,0.36
Kensington and Chelsea,Entire home/apt,322.35,25,256,234,0.62
Lambeth,Private room,36.24,24,110,217,2.55
Wandsworth,Entire home/apt,110.6,6,117,197,0.0
Kensington and Chelsea,Private room,49.91,26,291,287,2.05
Islington,Entire home/apt,66.5,10,59,256,9.81
Westminster,Private room,62.69,25,47,327,5.98
Kensington and Chelsea,Private room,136.25,5,215,88,0.13
Westminster,Entire home/apt,73.83,2,144,60,4.37
Tower Hamlets,Entire home/apt,132.95,11,56,49,3.11
Camden,Entire home/apt,382.59,11,246,147,0.14
Lambeth,Private room,57.0,2,64,87,5.95
Lambeth,Entire home/apt,68.48,15,93,306,0.43
Hammersmith,Private room,163.99,27,11,301,1.72
Wandsworth,Entire home/apt,287.55,23,16,330,0.62
Wandsworth,Private room,68.77,21,42,114,1.63
Westminster,Entire home/apt,256.83,17,172,153,0.44
Hammersmith,Entire home/apt,144.64,28,167,165,0.33
Wandsworth,Private room,105.42,11,125,169,0.71
Westminster,Entire home/apt,472.22,3,157,140,1.78
Wandsworth,Private room,125.16,29,86,257,2.33
Westminster,Private room,103.6,11,253,286,0.05
Southwark,Entire home/apt,94.48,18,94,267,1.7
Lambeth,Entire home/apt,217.55,11,58,163,1.37
Kensington and Chelsea,Entire home/apt,118.77,23,44,256,3.49
Southwark,Private room,155.45,11,66,112,0.18
Hammersmith,Private room,49.81,28,115,50,1.62
Westminster,Private room,93.77,10,174,183,2.43
Westminster,Entire home/apt,172.97,12,0,130,1.47
Hackney,Entire home/apt,115.45,1,99,188,4.86
Hammersmith,Entire home/apt,225.87,22,175,340,2.86
Tower Hamlets,Private room,46.08,11,222,212,4.46
Hammersmith,Entire home/apt,308.13,15,246,315,8.24
Tower Hamlets,Entire home/apt,169.37,19,173,277,0.92
Wandsworth,Entire home/apt,161.0,6,54,306,1.9
Westminster,Entire home/apt,361.21,5,197,158,4.09
Wandsworth,Private room,93.23,24,73,40,4.1
Hackney,Entire home/apt,194.88,20,86,108,1.03
Westminster,Private room,122.5,23,285,95,0.16
Islington,Entire home/apt,256.42,17,124,131,3.58
Westminster,Entire home/apt,166.54,1,259,38,0.79
Hammersmith,Private room,111.41,8,275,15,10.8
Islington,Shared room,41.61,20,41,11,2.76
Wandsworth,Entire home/apt,330.66,19,217,136,2.14
Kensington and Chelsea,Shared room,74.49,18,140,198,0.64
Southwark,Entire home/apt,255.43,15,202,84,3.11
Tower Hamlets,Private room,53.69,1,257,274,1.79
Hammersmith,Private room,118.7,29,16,88,0.58
Tower Hamlets,Private room,63.14,4,263,222,0.59
Wandsworth,Entire home/apt,203.96,13,3,341,1.7
Kensington and Chelsea,Entire home/apt,119.34,23,267,10,5.05
Wandsworth,Private room,112.18,22,18,115,1.56
Westminster,Private room,199.9,16,58,96,2.23
Southwark,Private room,94.56,9,282,272,1.34
Kensington and Chelsea,Entire home/apt,298.99,12,5,296,3.67
Camden,Shared room,63.16,1,135,24,2.65
Islington,Private room,87.49,1,110,145,3.67
Islington,Entire home/apt,92.79,16,37,134,1.85
Southwark,Entire home/apt,147.37,27,28,143,0.1
Southwark,Shared room,51.99,25,268,327,2.26
Wandsworth,Private room,115.03,24,209,28,2.78
Tower Hamlets,Entire home/apt,84.55,24,225,45,8.22
Hackney,Entire home/apt,266.26,23,53,137,1.2
Wandsworth,Entire home/apt,71.05,5,85,255,2.04
Lambeth,Entire home/apt,222.17,24,177,244,4.42
Kensington and Chelsea,Private room,56.12,17,267,259,0.23
Wandsworth,Private room,70.84,5,68,80,0.76
Lambeth,Entire home/apt,117.21,16,212,321,3.61
Southwark,Entire home/apt,194.53,14,199,209,1.46
Hammersmith,Shared room,72.96,1,156,260,0.15
Islington,Private room,87.13,15,231,194,0.2
Islington,Entire home/apt,93.57,11,295,329,2.68
Hackney,Private room,46.7,11,114,364,2.34
Tower Hamlets,Entire home/apt,165.08,13,160,4,2.78
Islington,Entire home/apt,373.57,19,94,222,0.19
Islington,Entire home/apt,202.13,22,111,350,6.16
Lambeth,Private room,72.09,18,123,18,0.39
Lambeth,Private room,63.82,2,39,37,0.2
Westminster,Shared room,92.79,4,136,345,0.84
Lambeth,Private room,179.26,26,58,27,1.73
Kensington and Chelsea,Private room,135.57,24,178,287,0.95
Camden,Entire home/apt,125.48,12,188,65,5.09
Tower Hamlets,Entire home/apt,100.86,28,293,169,2.76
Lambeth,Shared room,39.96,18,69,337,0.44
Kensington and Chelsea,Private room,111.49,22,54,268,2.54
Lambeth,Private room,75.11,1,284,47,5.15
Hackney,Entire home/apt,268.72,3,172,140,5.4
Lambeth,Entire home/apt,108.48,25,171,315,0.68
Islington,Entire home/apt,231.4,29,20,256,1.0
Westminster,Entire home/apt,205.7,3,226,283,5.52
Islington,Private room,61.03,24,233,332,0.77
Southwark,Entire home/apt,109.59,28,285,17,0.59
Hackney,Entire home/apt,383.61,18,224,216,0.52
Southwark,Private room,43.34,2,234,106,1.99
Camden,Entire home/apt,397.43,21,75,34,0.41
Wandsworth,Entire home/apt,111.13,16,159,83,1.07
Tower Hamlets,Entire home/apt,417.32,3,228,85,2.35
Westminster,Entire home/apt,275.25,9,290,249,2.62
Camden,Private room,67.56,22,143,145,0.25
Tower Hamlets,Entire home/apt,196.78,10,232,270,3.62
Hackney,Entire home/apt,63.48,13,231,360,4.27
Islington,Entire home/apt,78.03,16,233,183,1.97
Lambeth,Entire home/apt,125.29,4,126,134,1.83
Islington,Shared room,28.9,3,193,109,0.03
Tower Hamlets,Entire home/apt,74.76,26,16,215,4.38
Lambeth,Private room,31.52,15,106,145,0.76
Westminster,Entire home/apt,201.08,22,34,283,4.54
Lambeth,Entire home/apt,286.35,15,20,307,1.05
Westminster,Entire home/apt,347.63,12,192,242,0.74
Wandsworth,Private room,52.67,28,234,183,1.07
Hackney,Entire home/apt,252.52,9,25,342,1.28
Tower Hamlets,Entire home/apt,327.18,7,50,80,0.6
Westminster,Entire home/apt,156.31,20,141,355,2.93
Kensington and Chelsea,Entire home/apt,277.98,1,18,126,0.87
Lambeth,Private room,67.07,22,104,235,6.94
Hammersmith,Shared room,38.85,29,257,163,0.38
Hammersmith,Private room,191.29,28,170,249,2.88
Tower Hamlets,Entire home/apt,176.57,20,127,92,0.28
Islington,Entire home/apt,165.65,26,292,221,2.03
Hackney,Private room,58.34,11,262,48,5.1
Southwark,Entire home/apt,248.52,5,220,90,1.19
Tower Hamlets,Entire home/apt,107.96,13,190,348,1.21
Lambeth,Private room,76.48,21,203,266,0.76
Wandsworth,Shared room,29.27,3,195,342,4.78
Tower Hamlets,Private room,43.94,17,153,248,1.04
Tower Hamlets,Private room,39.3,13,1,87,2.24
Camden,Private room,185.83,3,235,127,2.96
Camden,Private room,59.19,22,137,20,0.46
Islington,Private room,66.26,20,161,356,0.02
Kensington and Chelsea,Private room,186.4,11,242,248,0.23
Southwark,Entire home/apt,231.7,10,11,262,7.8
Hammersmith,Entire home/apt,151.01,15,32,61,3.28
Hackney,Entire home/apt,121.14,19,24,56,6.45
Westminster,Entire home/apt,548.88,8,195,132,1.31
Islington,Private room,76.97,17,15,144,0.47
Islington,Entire home/apt,145.1,2,281,65,2.32
Islington,Entire home/apt,399.12,10,270,41,1.33
Islington,Entire home/apt,210.61,28,264,113,0.22
Tower Hamlets,Private room,61.93,29,261,330,0.77
Hackney,Entire home/apt,269.87,29,187,253,0.24
Tower Hamlets,Private room,39.96,26,227,321,1.97
Camden,Entire home/apt,224.67,16,41,109,1.05
Hackney,Private room,101.31,22,111,273,9.08
Southwark,Entire home/apt,125.89,9,280,122,5.42
Tower Hamlets,Entire home/apt,191.59,5,196,179,2.29
Southwark,Entire home/apt,320.05,29,264,92,1.55
Hammersmith,Private room,41.96,10,133,317,6.03
Hammersmith,Entire home/apt,87.86,27,186,318,0.91
Hackney,Private room,72.5,24,178,179,1.38
Camden,Entire home/apt,174.5,11,271,58,6.58
Camden,Entire home/apt,203.73,7,53,182,3.28
Hackney,Shared room,39.87,1,67,27,3.24
Kensington and Chelsea,Entire home/apt,343.71,1,7,50,0.29
Kensington and Chelsea,Entire home/apt,280.2,23,191,248,0.0
Southwark,Entire home/apt,165.05,17,252,121,0.8
Lambeth,Entire home/apt,164.44,5,209,217,0.95
Kensington and Chelsea,Private room,141.5,11,34,288,5.53
Hammersmith,Private room,43.25,14,0,318,1.26
Islington,Entire home/apt,224.56,5,251,11,0.95
Tower Hamlets,Entire home/apt,105.95,19,238,267,2.59
Hammersmith,Private room,69.43,15,226,24,0.89
Lambeth,Entire home/apt,103.26,20,206,343,1.2
Wandsworth,Entire home/apt,140.5,21,58,68,0.21
Lambeth,Entire home/apt,88.86,17,113,183,0.05
Lambeth,Private room,113.38,3,290,179,3.13
Camden,Entire home/apt,100.72,4,153,303,0.58
Kensington and Chelsea,Entire home/apt,143.45,27,57,139,0.04
Hackney,Entire home/apt,113.06,7,232,326,0.13
Hammersmith,Entire home/apt,202.85,9,175,329,1.43
Westminster,Entire home/apt,161.52,1,264,134,4.14
Islington,Private room,67.41,29,249,297,0.15
Southwark,Shared room,43.92,18,163,91,0.2
Southwark,Private room,85.52,8,53,177,3.53
Islington,Entire home/apt,295.3,22,46,4,0.08
Lambeth,Entire home/apt,91.85,3,169,81,2.04
Hammersmith,Private room,41.28,26,251,342,0.96
Wandsworth,Private room,67.37,7,279,71,1.57
Southwark,Entire home/apt,292.49,19,151,355,4.68
Lambeth,Entire home/apt,158.25,29,259,71,0.37
Westminster,Entire home/apt,136.8,25,217,106,0.36
Islington,Entire home/apt,234.59,2,107,308,3.54
Tower Hamlets,Private room,77.35,17,267,127,0.76
Wandsworth,Entire home/apt,130.67,20,79,133,1.97
Tower Hamlets,Private room,73.16,6,70,213,0.13
Tower Hamlets,Private room,91.75,18,157,97,0.37
Kensington and Chelsea,Private room,276.36,8,242,17,0.78
Kensington and Chelsea,Private room,92.43,28,21,171,2.43
Wandsworth,Entire home/apt,209.05,14,134,364,0.19
Hackney,Private room,33.23,29,190,324,1.38
Hammersmith,Private room,127.34,29,13,230,3.57
Lambeth,Entire home/apt,148.81,6,186,195,7.89
Hackney,Entire home/apt,69.23,28,89,307,4.37
Kensington and Chelsea,Private room,87.27,5,141,251,0.52
Lambeth,Entire home/apt,179.86,4,167,50,2.39
Westminster,Entire home/apt,227.25,28,205,227,0.04
Tower Hamlets,Entire home/apt,61.73,27,244,44,2.12
Wandsworth,Entire home/apt,69.74,14,135,175,0.25
Camden,Private room,101.72,24,176,242,1.17
Wandsworth,Private room,49.21,24,96,143,0.8
Islington,Private room,99.7,8,181,269,10.85
Southwark,Entire home/apt,64.26,6,299,17,0.11
Tower Hamlets,Entire home/apt,161.88,8,92,217,1.48
Hammersmith,Private room,89.77,15,163,12,0.07
Southwark,Entire home/apt,157.22,5,75,163,3.32
Kensington and Chelsea,Private room,75.02,24,276,160,0.37
Wandsworth,Private room,41.39,19,94,245,0.33
Lambeth,Entire home/apt,212.61,29,50,177,1.2
Islington,Private room,83.13,5,235,47,1.07
Southwark,Private room,118.68,19,61,118,0.34
Lambeth,Entire home/apt,134.12,10,7,3,0.99
Southwark,Private room,130.81,25,41,91,0.29
Tower Hamlets,Shared room,39.65,2,75,352,1.76
Southwark,Entire home/apt,188.48,4,37,51,3.24
Islington,Entire home/apt,291.62,12,239,142,6.42
Westminster,Entire home/apt,532.31,15,233,62,0.68
Islington,Private room,54.34,21,51,318,6.73
Wandsworth,Private room,219.37,10,259,196,0.76
Wandsworth,Shared room,27.34,9,254,1,0.66
Camden,Entire home/apt,111.94,5,211,155,0.63
Hackney,Entire home/apt,201.91,4,255,48,3.27
Islington,Private room,79.89,15,258,210,0.31
Lambeth,Entire home/apt,321.31,13,250,330,1.51
Wandsworth,Entire home/apt,344.58,10,216,319,1.99
Wandsworth,Entire home/apt,149.47,10,147,104,1.08
Southwark,Entire home/apt,254.87,14,71,139,2.85
Southwark,Entire home/apt,177.39,28,106,219,1.4
Hackney,Private room,83.44,25,230,274,1.26
Hammersmith,Entire home/apt,240.86,1,165,127,7.67
Hackney,Private room,64.63,15,110,89,3.51
Southwark,Entire home/apt,330.17,9,97,119,1.16
Islington,Private room,155.16,12,185,107,1.38
Camden,Entire home/apt,106.12,29,131,143,6.13
Camden,Entire home/apt,142.91,20,242,263,6.49
Hackney,Private room,67.59,15,86,22,0.05
Hackney,Shared room,38.34,2,66,134,0.37
Hammersmith,Private room,54.01,17,155,146,0.31
Tower Hamlets,Shared room,58.89,19,259,21,0.18
Southwark,Private room,51.31,1,299,169,2.15
Camden,Entire home/apt,611.5,3,235,199,1.27
Hackney,Entire home/apt,193.89,9,265,85,0.78
Wandsworth,Private room,78.93,15,85,221,0.48
Southwark,Private room,80.87,28,249,47,1.11
Hammersmith,Private room,101.14,4,286,363,0.98
Hackney,Entire home/apt,136.4,20,151,151,2.14
Kensington and Chelsea,Private room,131.23,9,70,77,0.99
Wandsworth,Entire home/apt,151.6,13,212,110,1.83
Islington,Entire home/apt,253.4,12,66,248,0.21
Camden,Private room,57.01,22,283,53,3.86
Tower Hamlets,Entire home/apt,112.91,7,46,221,2.23
Wandsworth,Entire home/apt,329.09,11,149,256,0.05
Southwark,Entire home/apt,125.95,7,58,53,0.08
Islington,Private room,58.24,16,260,72,0.65
Hammersmith,Private room,58.77,29,18,302,1.28
Southwark,Entire home/apt,128.32,21,226,351,0.84
Westminster,Entire home/apt,110.52,20,111,119,0.29
Camden,Entire home/apt,345.45,29,220,210,1.36
Lambeth,Entire home/apt,125.04,5,295,33,0.26
Islington,Entire home/apt,306.14,27,77,77,1.94
Westminster,Private room,50.34,16,23,213,0.72
Kensington and Chelsea,Entire home/apt,422.86,22,293,329,1.08
Lambeth,Private room,49.76,24,26,165,1.43
Islington,Entire home/apt,183.42,13,103,244,0.1
Tower Hamlets,Entire home/apt,133.99,2,99,4,5.41
Camden,Shared room,44.81,21,265,36,1.49
Islington,Entire home/apt,162.76,8,118,18,1.87
Wandsworth,Entire home/apt,225.31,27,249,281,3.95
Lambeth,Private room,88.62,8,2,27,2.09
Islington,Private room,95.45,13,174,113,0.01
Hammersmith,Entire home/apt,164.24,13,112,108,1.17
Westminster,Private room,78.87,15,15,43,2.34
Lambeth,Entire home/apt,54.92,4,94,55,1.36
Islington,Private room,44.81,9,199,333,5.7
Southwark,Shared room,50.12,27,83,47,1.97
Kensington and Chelsea,Entire home/apt,218.9,6,281,49,2.64
Kensington and Chelsea,Entire home/apt,217.28,29,267,240,2.66
Wandsworth,Entire home/apt,169.37,5,24,271,1.4
Westminster,Entire home/apt,400.03,28,140,355,2.6
Lambeth,Private room,72.99,18,253,179,0.18
Kensington and Chelsea,Entire home/apt,202.59,28,21,342,0.72
Islington,Entire home/apt,65.73,5,12,27,1.63
Westminster,Entire home/apt,88.41,4,225,169,1.65
Camden,Entire home/apt,265.1,22,251,14,1.47
Wandsworth,Private room,71.86,16,165,149,0.14
Westminster,Private room,180.44,15,19,288,1.62
Tower Hamlets,Private room,44.45,13,200,216,2.97
Hammersmith,Private room,152.65,12,77,171,2.33
Southwark,Private room,53.96,29,131,342,1.96
Southwark,Entire home/apt,118.4,17,167,179,5.37
Southwark,Entire home/apt,248.21,15,33,69,0.83
Westminster,Entire home/apt,133.25,9,68,214,2.86
Kensington and Chelsea,Entire home/apt,220.4,27,5,352,1.83
Hackney,Private room,66.54,19,50,86,1.53
Hackney,Entire home/apt,269.61,6,61,262,0.27
Islington,Entire home/apt,62.95,26,245,18,3.58
Tower Hamlets,Entire home/apt,287.91,22,9,320,0.31
Kensington and Chelsea,Entire home/apt,96.35,18,193,171,2.18
Lambeth,Entire home/apt,192.91,2,263,137,0.74
Camden,Private room,84.09,8,118,142,6.02
Camden,Shared room,32.82,3,294,52,3.34
Kensington and Chelsea,Entire home/apt,415.44,2,140,107,0.06
Wandsworth,Private room,70.8,11,151,289,3.07
Islington,Entire home/apt,72.21,1,140,342,2.74
Camden,Private room,157.3,25,117,4,3.24
Hackney,Private room,59.24,28,145,276,1.34
Kensington and Chelsea,Private room,104.88,25,250,149,0.95
Kensington and Chelsea,Entire home/apt,147.55,3,166,297,0.42
Camden,Shared room,40.6,25,108,315,5.74
Islington,Entire home/apt,340.36,16,61,299,8.54
Kensington and Chelsea,Private room,87.09,17,166,159,1.0
Hammersmith,Private room,47.37,26,247,54,6.02
Westminster,Entire home/apt,399.61,10,173,96,3.18
Islington,Entire home/apt,309.46,29,26,359,1.04
Hammersmith,Private room,54.22,9,228,124,3.59
Islington,Entire home/apt,434.89,12,161,41,3.41
Tower Hamlets,Entire home/apt,335.05,5,161,200,0.23
Hackney,Entire home/apt,267.22,17,187,354,3.43
Westminster,Entire home/apt,147.61,4,134,23,0.06
Westminster,Entire home/apt,191.43,3,217,306,5.46
Hackney,Entire home/apt,97.64,17,33,136,2.55
Hackney,Entire home/apt,139.38,9,256,88,3.56
Tower Hamlets,Entire home/apt,211.5,15,291,111,1.44
Westminster,Entire home/apt,570.41,18,66,85,3.14
Lambeth,Private room,56.95,16,23,290,4.83
Kensington and Chelsea,Private room,107.65,12,189,354,1.0
Kensington and Chelsea,Private room,114.64,11,69,255,0.97
Wandsworth,Entire home/apt,32.81,3,2,83,5.26
Hackney,Private room,67.78,11,154,276,1.07
Camden,Private room,80.35,3,46,213,0.3
Camden,Entire home/apt,133.54,14,231,315,2.01
Hackney,Private room,50.65,6,82,26,2.98
Lambeth,Entire home/apt,120.84,10,119,127,3.09
Southwark,Shared room,63.07,26,13,49,0.74
Southwark,Private room,43.21,4,37,356,2.56
Wandsworth,Shared room,48.3,9,35,3,3.43
Hammersmith,Private room,227.59,16,68,325,3.23
Tower Hamlets,Entire home/apt,85.31,1,158,148,3.75
Kensington and Chelsea,Entire home/apt,323.33,2,277,16,1.01
Tower Hamlets,Entire home/apt,106.16,6,95,0,0.92
Tower Hamlets,Private room,120.63,8,26,307,0.47
Lambeth,Entire home/apt,141.73,5,81,218,0.15
Lambeth,Private room,40.69,1,42,346,2.52
Wandsworth,Entire home/apt,70.89,29,116,69,0.74
Tower Hamlets,Private room,64.4,3,217,175,12.9
Tower Hamlets,Private room,99.7,25,180,245,3.88
Hammersmith,Entire home/apt,142.77,21,186,363,0.4
Hammersmith,Private room,120.42,27,210,24,1.09
Kensington and Chelsea,Entire home/apt,182.33,10,95,175,2.0
Hammersmith,Entire home/apt,271.33,13,203,7,1.36
Hackney,Entire home/apt,129.15,17,114,154,8.6
Islington,Entire home/apt,244.33,26,70,6,4.87
Hackney,Private room,56.18,5,86,184,2.6
Lambeth,Entire home/apt,130.2,27,3,87,1.5
Hackney,Private room,85.98,17,137,349,0.53
Southwark,Entire home/apt,67.81,23,229,344,2.42
Tower Hamlets,Private room,64.2,29,268,2,2.94
Lambeth,Private room,43.67,7,132,311,1.59
Westminster,Shared room,75.9,20,209,56,2.17
Lambeth,Entire home/apt,403.59,13,292,339,0.52
Lambeth,Entire home/apt,47.64,14,278,339,0.03
Wandsworth,Private room,48.29,18,180,13,0.77
Tower Hamlets,Private room,54.52,24,252,59,2.24
Southwark,Entire home/apt,69.58,1,30,233,2.17
Tower Hamlets,Private room,114.53,9,29,114,2.56
Southwark,Entire home/apt,159.44,23,15,21,2.58
Westminster,Entire home/apt,173.66,15,151,265,0.02
Hackney,Entire home/apt,133.31,15,237,198,1.13
Southwark,Entire home/apt,121.35,5,5,219,2.08
Southwark,Private room,73.75,6,106,294,1.25
Kensington and Chelsea,Entire home/apt,300.21,12,208,164,5.99
Islington,Entire home/apt,393.53,1,101,356,0.13
Camden,Private room,50.62,10,28,303,0.65
Lambeth,Entire home/apt,182.44,10,268,46,5.6
Lambeth,Entire home/apt,235.32,28,1,356,0.88
Camden,Entire home/apt,171.77,20,156,34,0.51
Westminster,Entire home/apt,431.34,7,66,220,0.41
Islington,Entire home/apt,234.42,12,253,209,0.09
Southwark,Entire home/apt,161.34,8,18,46,2.43
Camden,Entire home/apt,139.3,2,4,92,2.06
Tower Hamlets,Entire home/apt,213.71,15,211,7,1.75
Southwark,Private room,144.3,27,235,288,1.16
Tower Hamlets,Entire home/apt,123.33,11,54,257,0.46
Lambeth,Entire home/apt,262.1,18,208,285,0.1
Hammersmith,Shared room,27.86,11,212,17,1.09
Kensington and Chelsea,Entire home/apt,149.74,4,277,39,2.16
Camden,Entire home/apt,131.0,13,214,285,1.38
Hammersmith,Entire home/apt,396.09,13,75,8,1.47
Kensington and Chelsea,Entire home/apt,261.86,5,50,51,0.46
Hammersmith,Private room,73.09,13,244,283,1.19
Westminster,Private room,68.12,26,120,279,0.42
Southwark,Entire home/apt,273.48,19,175,120,2.71
Hackney,Private room,61.56,17,172,274,3.71
Camden,Entire home/apt,352.09,11,44,86,0.64
Southwark,Shared room,39.92,18,279,343,1.39
Hammersmith,Entire home/apt,159.1,23,261,193,2.23
Kensington and Chelsea,Private room,171.22,12,175,9,2.4
Kensington and Chelsea,Private room,381.01,10,251,294,2.05
Camden,Entire home/apt,296.64,3,232,215,0.73
Hammersmith,Entire home/apt,165.01,27,92,338,1.45
Hackney,Entire home/apt,131.74,24,129,174,1.44
Islington,Entire home/apt,98.32,23,131,275,0.04
Hackney,Entire home/apt,94.64,3,89,240,0.23
Hackney,Entire home/apt,91.76,18,212,2,4.61
Tower Hamlets,Private room,114.84,1,115,51,2.23
Lambeth,Shared room,37.14,12,237,9,1.39
Camden,Entire home/apt,110.52,26,177,356,0.04
Hackney,Entire home/apt,392.97,4,280,299,2.94
Hammersmith,Private room,65.58,26,251,87,1.62
Hammersmith,Entire home/apt,232.49,28,267,74,2.76
Southwark,Private room,140.21,5,254,125,2.92
Lambeth,Entire home/apt,226.66,12,222,216,3.57
Hammersmith,Entire home/apt,336.22,9,198,331,0.85
Tower Hamlets,Entire home/apt,294.66,26,43,195,8.44
Hackney,Entire home/apt,227.1,23,139,118,5.89
Camden,Entire home/apt,192.91,8,182,133,2.82
Islington,Entire home/apt,120.51,25,116,119,3.16
Camden,Entire home/apt,325.23,7,123,244,1.06
Tower Hamlets,Entire home/apt,324.55,13,49,104,0.19
Kensington and Chelsea,Entire home/apt,159.77,17,136,339,1.46
Camden,Entire home/apt,454.51,28,0,248,0.79
Hackney,Shared room,37.25,14,200,221,7.11
Camden,Private room,143.01,23,134,233,1.8
Camden,Entire home/apt,208.93,4,141,209,0.58
Hammersmith,Private room,41.49,15,95,348,2.78
Lambeth,Entire home/apt,145.32,19,156,115,4.28
Hammersmith,Entire home/apt,266.85,24,78,102,2.54
Southwark,Shared room,57.4,21,99,237,0.34
Islington,Entire home/apt,138.85,10,62,75,3.12
Southwark,Private room,126.78,23,242,184,1.4
Islington,Private room,153.6,14,46,78,1.31
Camden,Private room,87.83,13,118,356,0.91
Wandsworth,Private room,39.19,7,295,106,0.67
Camden,Private room,130.74,6,287,193,0.61
Islington,Entire home/apt,350.37,2,157,103,1.67
Lambeth,Shared room,27.81,8,178,79,0.92
Tower Hamlets,Entire home/apt,71.33,12,273,283,2.76
Tower Hamlets,Entire home/apt,168.82,26,220,281,3.55
Tower Hamlets,Entire home/apt,42.52,26,184,31,0.99
Hammersmith,Private room,63.01,20,143,317,0.06
Kensington and Chelsea,Entire home/apt,294.94,25,185,77,0.26
Westminster,Entire home/apt,176.08,15,159,204,4.08
Kensington and Chelsea,Entire home/apt,130.05,16,155,353,15.22
Wandsworth,Private room,88.19,4,107,160,0.22
Camden,Entire home/apt,130.32,25,44,79,4.15
Westminster,Entire home/apt,195.03,24,279,115,0.16
Tower Hamlets,Entire home/apt,80.77,28,248,110,5.27
Hackney,Entire home/apt,100.06,20,91,211,0.77
Hammersmith,Private room,53.39,13,133,329,1.6
Lambeth,Entire home/apt,207.41,21,113,74,1.68
Camden,Shared room,54.14,2,34,161,3.55
Islington,Entire home/apt,218.6,24,181,146,1.87
Hackney,Entire home/apt,140.46,17,41,28,4.73
Westminster,Private room,175.04,24,188,359,2.32
Tower Hamlets,Entire home/apt,161.79,19,158,328,5.6
Hackney,Private room,79.02,16,56,74,2.43
Westminster,Private room,104.85,11,119,245,1.64
Southwark,Entire home/apt,57.63,10,135,230,4.8
Kensington and Chelsea,Entire home/apt,330.14,22,240,319,1.92
Westminster,Shared room,34.66,19,106,68,0.69
Kensington and Chelsea,Entire home/apt,387.66,11,186,301,0.53
Hackney,Entire home/apt,74.36,19,3,120,3.32
Tower Hamlets,Private room,101.93,4,289,108,0.42
Lambeth,Entire home/apt,31.32,17,145,251,0.26
Camden,Entire home/apt,221.65,22,268,19,1.4
Islington,Shared room,32.02,5,5,13,0.82
Hackney,Entire home/apt,136.12,3,224,257,1.78
Wandsworth,Entire home/apt,75.32,24,270,94,0.07
Lambeth,Private room,117.79,17,207,295,0.75
Wandsworth,Shared room,32.2,20,96,190,1.78
Westminster,Entire home/apt,259.05,23,97,327,7.97
Wandsworth,Entire home/apt,63.58,20,22,104,2.25
Camden,Entire home/apt,173.97,14,294,240,0.22
Lambeth,Private room,138.09,21,26,1,0.57
Islington,Private room,83.91,24,229,27,1.14
Camden,Entire home/apt,162.23,9,40,259,1.96
Kensington and Chelsea,Private room,214.14,26,135,182,4.05
Tower Hamlets,Private room,152.28,28,177,26,3.86
Tower Hamlets,Entire home/apt,127.82,6,51,215,3.18
Southwark,Entire home/apt,203.47,22,34,200,3.59
Tower Hamlets,Private room,58.28,22,247,176,1.08
Westminster,Entire home/apt,418.47,8,213,24,1.46
Hackney,Entire home/apt,42.86,19,14,177,2.34
Kensington and Chelsea,Entire home/apt,162.26,2,114,38,1.55
Westminster,Entire home/apt,220.21,19,46,35,0.03
Wandsworth,Entire home/apt,465.74,18,64,227,2.28
Tower Hamlets,Entire home/apt,161.27,21,154,274,0.56
Camden,Entire home/apt,214.85,3,103,50,0.78
Southwark,Shared room,52.44,15,252,48,0.8
Kensington and Chelsea,Private room,188.52,13,61,156,1.95
Southwark,Entire home/apt,97.38,10,130,356,6.71
Kensington and Chelsea,Entire home/apt,411.26,29,1,232,2.23
Camden,Entire home/apt,188.8,5,71,282,2.09
Hackney,Private room,35.22,13,82,252,0.81
Westminster,Entire home/apt,115.5,12,106,35,2.59
Wandsworth,Shared room,29.09,20,201,154,8.29
Camden,Private room,105.58,2,246,311,4.5
Islington,Entire home/apt,159.99,4,12,326,1.45
Westminster,Private room,161.61,27,297,338,7.75
Southwark,Entire home/apt,127.72,28,281,115,0.1
Southwark,Entire home/apt,62.59,15,182,336,2.76
Wandsworth,Entire home/apt,71.93,25,261,22,6.23
Lambeth,Entire home/apt,215.57,12,52,98,3.05
Westminster,Entire home/apt,270.82,22,101,262,2.68
Kensington and Chelsea,Entire home/apt,176.25,29,77,296,4.77
Hammersmith,Entire home/apt,169.95,18,8,212,0.43
Southwark,Private room,35.7,12,244,254,3.12
Lambeth,Private room,185.75,14,77,335,0.06
Hammersmith,Shared room,53.48,18,140,285,2.37
Wandsworth,Entire home/apt,60.54,6,75,83,0.68
Lambeth,Private room,63.66,4,97,15,1.34
Hammersmith,Entire home/apt,240.98,2,67,192,2.34
Kensington and Chelsea,Entire home/apt,407.7,22,281,295,0.21
Tower Hamlets,Private room,36.34,24,230,290,4.05
Westminster,Entire home/apt,84.07,4,293,123,0.27
Westminster,Private room,78.66,15,107,298,1.36
Camden,Entire home/apt,238.42,17,290,9,0.59
Wandsworth,Entire home/apt,207.0,15,125,340,7.43
Islington,Private room,179.09,8,225,73,0.81
Wandsworth,Private room,86.1,24,223,224,6.96
Wandsworth,Entire home/apt,119.11,22,42,39,0.33
